algo,dataset,N,r,qps,avg_ms,avg_hits,total_s,wall_s,rc
linear_scan,siftsmall,10000,2,102564.1,0.01,0.0,0.0,0.023755700036417693,0
qadp_normal,siftsmall,10000,2,7266.4,0.138,0.0,0.001,0.027650600008200854,0
qadp_small,siftsmall,10000,2,5770.3,0.173,0.0,0.002,0.028819400002248585,0
mih,siftsmall,10000,2,120919.0,0.008,0.0,0.0,0.024523900006897748,0
linear_scan,siftsmall,10000,4,74794.3,0.013,0.0,0.0,0.022788699949160218,0
qadp_normal,siftsmall,10000,4,10068.5,0.099,0.0,0.001,0.025476699986029416,0
qadp_small,siftsmall,10000,4,5963.0,0.168,0.0,0.002,0.026864000014029443,0
mih,siftsmall,10000,4,121802.7,0.008,0.0,0.0,0.02413089998299256,0
linear_scan,siftsmall,10000,6,102459.0,0.01,0.0,0.0,0.02455599996028468,0
qadp_normal,siftsmall,10000,6,9175.2,0.109,0.0,0.001,0.025401099992450327,0
qadp_small,siftsmall,10000,6,6656.5,0.15,0.0,0.002,0.026411700004246086,0
mih,siftsmall,10000,6,128534.7,0.008,0.0,0.0,0.024819299986120313,0
linear_scan,siftsmall,10000,8,102880.7,0.01,0.0,0.0,0.02242839999962598,0
qadp_normal,siftsmall,10000,8,7757.4,0.129,0.0,0.001,0.02703609998570755,0
qadp_small,siftsmall,10000,8,5348.2,0.187,0.0,0.002,0.027123999956529588,0
mih,siftsmall,10000,8,48971.6,0.02,0.0,0.0,0.02612080000108108,0
linear_scan,siftsmall,10000,12,93985.0,0.011,0.4,0.0,0.022040800016839057,0
qadp_normal,siftsmall,10000,12,4653.1,0.215,0.2,0.002,0.027629899966996163,0
qadp_small,siftsmall,10000,12,6367.4,0.157,0.0,0.002,0.026078199967741966,0
mih,siftsmall,10000,12,44345.9,0.023,0.4,0.0,0.025071999989449978,0
linear_scan,siftsmall,10000,16,92678.4,0.011,4.8,0.0,0.022720899956766516,0
qadp_normal,siftsmall,10000,16,2705.3,0.37,3.0,0.004,0.030794500024057925,0
qadp_small,siftsmall,10000,16,6210.8,0.161,0.7,0.002,0.02635170001303777,0
mih,siftsmall,10000,16,20951.2,0.048,4.8,0.0,0.024889799999073148,0
linear_scan,siftsmall,10000,20,89445.4,0.011,43.8,0.0,0.022654500033240765,0
qadp_normal,siftsmall,10000,20,2133.9,0.469,26.9,0.005,0.030331000045407563,0
qadp_small,siftsmall,10000,20,5520.0,0.181,1.7,0.002,0.02951329998904839,0
mih,siftsmall,10000,20,19109.5,0.052,43.8,0.001,0.025719399971421808,0
linear_scan,sift_quarter,250000,2,3562.3,0.281,0.0,0.003,0.3820344000123441,0
qadp_normal,sift_quarter,250000,2,532.7,1.877,0.0,0.019,0.474335000035353,0
qadp_small,sift_quarter,250000,2,387.0,2.584,0.0,0.026,0.46852039999794215,0
mih,sift_quarter,250000,2,2752.5,0.363,0.0,0.004,0.3859631000086665,0
linear_scan,sift_quarter,250000,4,4096.7,0.244,0.0,0.002,0.40398579998873174,0
qadp_normal,sift_quarter,250000,4,527.3,1.897,0.0,0.019,0.46483870001975447,0
qadp_small,sift_quarter,250000,4,382.3,2.615,0.0,0.026,0.4688708000467159,0
mih,sift_quarter,250000,4,5479.8,0.182,0.0,0.002,0.3827287000021897,0
linear_scan,sift_quarter,250000,6,4068.2,0.246,0.0,0.002,0.37166840001009405,0
qadp_normal,sift_quarter,250000,6,482.1,2.074,0.0,0.021,0.46239319996675476,0
qadp_small,sift_quarter,250000,6,410.2,2.438,0.0,0.024,0.46611900004791096,0
mih,sift_quarter,250000,6,5057.1,0.198,0.0,0.002,0.3794167999876663,0
linear_scan,sift_quarter,250000,8,4103.1,0.244,0.0,0.002,0.3744952999986708,0
qadp_normal,sift_quarter,250000,8,367.8,2.719,0.0,0.027,0.47465099999681115,0
qadp_small,sift_quarter,250000,8,387.8,2.579,0.0,0.026,0.48180770000908524,0
mih,sift_quarter,250000,8,2226.9,0.449,0.0,0.004,0.3853860999806784,0
linear_scan,sift_quarter,250000,12,3572.2,0.28,5.8,0.003,0.3740779999643564,0
qadp_normal,sift_quarter,250000,12,176.5,5.667,4.0,0.057,0.5094681000337005,0
qadp_small,sift_quarter,250000,12,363.0,2.755,0.1,0.028,0.47776839998550713,0
mih,sift_quarter,250000,12,2363.7,0.423,5.8,0.004,0.3898517000488937,0
linear_scan,sift_quarter,250000,16,3182.8,0.314,110.0,0.003,0.3853699999745004,0
qadp_normal,sift_quarter,250000,16,128.4,7.786,67.9,0.078,0.5242444999748841,0
qadp_small,sift_quarter,250000,16,359.1,2.785,4.8,0.028,0.4833530999603681,0
mih,sift_quarter,250000,16,1186.4,0.843,110.0,0.008,0.39431589999003336,0
linear_scan,sift_quarter,250000,20,3598.7,0.278,1092.4,0.003,0.3841346999979578,0
qadp_normal,sift_quarter,250000,20,113.4,8.82,715.1,0.088,0.5375414000009187,0
qadp_small,sift_quarter,250000,20,313.3,3.192,27.6,0.032,0.49158299999544397,0
mih,sift_quarter,250000,20,1007.6,0.992,1092.4,0.01,0.40177810000022873,0
linear_scan,sift_half,500000,2,2075.5,0.482,0.0,0.005,0.7065222000237554,0
qadp_normal,sift_half,500000,2,262.2,3.814,0.0,0.038,0.8794050000142306,0
qadp_small,sift_half,500000,2,161.5,6.191,0.0,0.062,0.9015969999600202,0
mih,sift_half,500000,2,1902.3,0.526,0.0,0.005,0.7212940000463277,0
linear_scan,sift_half,500000,4,2054.9,0.487,0.0,0.005,0.6963586999918334,0
qadp_normal,sift_half,500000,4,260.8,3.835,0.0,0.038,0.880835699965246,0
qadp_small,sift_half,500000,4,198.5,5.037,0.0,0.05,0.8916051000123844,0
mih,sift_half,500000,4,1511.6,0.662,0.0,0.007,0.716600899992045,0
linear_scan,sift_half,500000,6,1934.6,0.517,0.0,0.005,0.7160180999781005,0
qadp_normal,sift_half,500000,6,239.3,4.178,0.0,0.042,0.887583400006406,0
qadp_small,sift_half,500000,6,195.7,5.111,0.0,0.051,0.8947797000291757,0
mih,sift_half,500000,6,1719.9,0.581,0.0,0.006,0.71541950001847,0
linear_scan,sift_half,500000,8,2088.6,0.479,0.0,0.005,0.7003436000086367,0
qadp_normal,sift_half,500000,8,176.3,5.673,0.0,0.057,0.9021523999981582,0
qadp_small,sift_half,500000,8,158.8,6.298,0.0,0.063,0.9088072999729775,0
mih,sift_half,500000,8,1226.7,0.815,0.0,0.008,0.7244040999794379,0
linear_scan,sift_half,500000,12,1587.5,0.63,9.6,0.006,0.6999701000167988,0
qadp_normal,sift_half,500000,12,98.9,10.11,5.7,0.101,0.9367983000120148,0
